,Chin,Nose,RightEye1,RightEye2,LeftEye1,LeftEye2,MouthRight,MouthTop,MouthLeft,MouthBottom,Label
0,703.0,650.0,679.0,658.0,660.0,662.0,646.0,644.0,640.0,639.0,Real_Face
1,966.0,17522.0,957.0,988.0,65535.0,65535.0,11357.0,12516.0,13049.0,10952.0,Real_Face
2,847.0,825.0,772.0,776.0,34071.0,32278.0,793.0,21148.0,21148.0,919.0,Real_Face
3,757.0,659.0,659.0,655.0,673.0,683.0,657.0,662.0,715.0,663.0,Real_Face
4,822.0,735.0,710.0,710.0,737.0,15725.0,707.0,739.0,758.0,722.0,Real_Face
5,738.0,640.0,615.0,614.0,26665.0,27877.0,618.0,646.0,662.0,636.0,Real_Face
6,774.0,676.0,652.0,651.0,21903.0,30664.0,647.0,680.0,691.0,660.0,Real_Face
7,655.0,551.0,599.0,568.0,557.0,570.0,701.0,562.0,667.0,693.0,Real_Face
8,785.0,706.0,704.0,704.0,741.0,29204.0,691.0,707.0,761.0,702.0,Real_Face
9,768.0,687.0,691.0,688.0,699.0,710.0,688.0,690.0,749.0,695.0,Real_Face
10,777.0,691.0,706.0,703.0,718.0,732.0,688.0,692.0,719.0,695.0,Real_Face
11,734.0,659.0,644.0,644.0,684.0,21148.0,644.0,661.0,747.0,659.0,Real_Face
12,743.0,655.0,676.0,671.0,677.0,688.0,655.0,656.0,681.0,654.0,Real_Face
13,786.0,738.0,728.0,720.0,22714.0,22714.0,706.0,737.0,767.0,713.0,Real_Face
14,744.0,655.0,671.0,668.0,675.0,687.0,651.0,656.0,681.0,655.0,Real_Face
15,855.0,36076.0,754.0,761.0,18584.0,25554.0,814.0,30664.0,20443.0,834.0,Real_Face
16,751.0,704.0,691.0,688.0,694.0,747.0,728.0,767.0,783.0,782.0,Real_Face
17,778.0,706.0,729.0,716.0,722.0,728.0,728.0,711.0,785.0,783.0,Real_Face
18,773.0,707.0,726.0,718.0,718.0,727.0,729.0,716.0,780.0,789.0,Real_Face
19,750.0,713.0,664.0,670.0,30664.0,38330.0,697.0,771.0,779.0,777.0,Real_Face
20,781.0,704.0,706.0,707.0,727.0,755.0,699.0,707.0,769.0,712.0,Real_Face
21,750.0,700.0,708.0,696.0,682.0,691.0,800.0,781.0,780.0,793.0,Real_Face
22,777.0,683.0,698.0,689.0,714.0,728.0,677.0,681.0,700.0,681.0,Real_Face
23,746.0,728.0,681.0,685.0,22714.0,21903.0,690.0,767.0,802.0,780.0,Real_Face
