,Chin,Nose,RightEye1,RightEye2,LeftEye1,LeftEye2,MouthRight,MouthTop,MouthLeft,MouthBottom,Label
0,22714.0,757.0,682.0,684.0,11151.0,14262.0,655.0,732.0,21903.0,666.0,Real_Face
1,447.0,488.0,443.0,447.0,16139.0,16575.0,433.0,17522.0,36076.0,472.0,Real_Face
2,438.0,442.0,448.0,445.0,17522.0,26665.0,431.0,444.0,20443.0,452.0,Real_Face
3,687.0,661.0,670.0,664.0,707.0,755.0,638.0,646.0,649.0,641.0,Real_Face
4,690.0,669.0,665.0,670.0,728.0,765.0,638.0,659.0,652.0,642.0,Real_Face
5,669.0,675.0,692.0,687.0,711.0,716.0,661.0,662.0,648.0,658.0,Real_Face
6,667.0,638.0,651.0,636.0,662.0,703.0,619.0,636.0,637.0,623.0,Real_Face
7,672.0,684.0,719.0,705.0,737.0,756.0,661.0,675.0,665.0,657.0,Real_Face
8,670.0,664.0,681.0,681.0,712.0,716.0,650.0,652.0,646.0,643.0,Real_Face
9,682.0,691.0,707.0,709.0,738.0,756.0,667.0,682.0,664.0,670.0,Real_Face
10,722.0,710.0,727.0,726.0,763.0,798.0,687.0,702.0,697.0,689.0,Real_Face
11,680.0,728.0,737.0,731.0,812.0,18584.0,700.0,714.0,728.0,704.0,Real_Face
12,706.0,689.0,745.0,728.0,730.0,742.0,696.0,681.0,684.0,682.0,Real_Face
13,677.0,664.0,699.0,687.0,698.0,715.0,673.0,663.0,667.0,665.0,Real_Face
14,750.0,715.0,714.0,707.0,805.0,13938.0,681.0,694.0,697.0,683.0,Real_Face
15,741.0,722.0,719.0,717.0,791.0,12266.0,684.0,707.0,708.0,688.0,Real_Face
16,734.0,726.0,734.0,727.0,799.0,9292.0,689.0,711.0,703.0,689.0,Real_Face
17,731.0,718.0,728.0,717.0,795.0,820.0,685.0,702.0,699.0,685.0,Real_Face
18,717.0,737.0,753.0,751.0,801.0,814.0,712.0,716.0,705.0,695.0,Real_Face
19,707.0,724.0,737.0,734.0,11571.0,12266.0,686.0,716.0,700.0,686.0,Real_Face
20,708.0,714.0,724.0,721.0,770.0,819.0,682.0,700.0,687.0,688.0,Real_Face
21,698.0,706.0,721.0,716.0,751.0,761.0,680.0,691.0,679.0,678.0,Real_Face
22,684.0,706.0,725.0,720.0,745.0,771.0,678.0,692.0,676.0,670.0,Real_Face
23,639.0,654.0,675.0,663.0,10574.0,11357.0,626.0,633.0,626.0,622.0,Real_Face
24,677.0,686.0,703.0,703.0,725.0,742.0,673.0,663.0,658.0,662.0,Real_Face
25,678.0,684.0,711.0,712.0,734.0,745.0,680.0,665.0,660.0,664.0,Real_Face
26,688.0,703.0,711.0,711.0,751.0,10952.0,672.0,694.0,678.0,673.0,Real_Face
27,683.0,690.0,704.0,704.0,738.0,765.0,670.0,670.0,662.0,656.0,Real_Face
28,689.0,691.0,698.0,699.0,737.0,775.0,666.0,675.0,667.0,664.0,Real_Face
29,668.0,642.0,670.0,674.0,681.0,692.0,653.0,639.0,641.0,646.0,Real_Face
30,687.0,647.0,646.0,651.0,684.0,698.0,640.0,640.0,643.0,638.0,Real_Face
31,682.0,644.0,658.0,651.0,675.0,691.0,640.0,638.0,642.0,641.0,Real_Face
32,675.0,671.0,670.0,671.0,708.0,724.0,650.0,652.0,646.0,641.0,Real_Face
33,710.0,701.0,697.0,691.0,16575.0,13629.0,661.0,699.0,697.0,659.0,Real_Face
34,699.0,674.0,677.0,678.0,721.0,738.0,654.0,663.0,662.0,654.0,Real_Face
35,1998.0,7301.0,7479.0,8288.0,7863.0,8288.0,7763.0,13049.0,8638.0,8070.0,Real_Face
36,1959.0,7763.0,8070.0,7965.0,7666.0,8177.0,6388.0,13629.0,11357.0,6739.0,Real_Face
37,480.0,513.0,7965.0,5476.0,8638.0,9583.0,540.0,505.0,489.0,499.0,Real_Face
38,1953.0,12516.0,5679.0,6969.0,9019.0,8761.0,6594.0,15332.0,2011.0,7389.0,Real_Face
39,626.0,544.0,540.0,529.0,553.0,577.0,554.0,534.0,554.0,559.0,Real_Face
40,468.0,502.0,8177.0,8518.0,7571.0,8638.0,512.0,495.0,477.0,481.0,Real_Face
41,497.0,408.0,470.0,423.0,401.0,417.0,417.0,410.0,412.0,422.0,Real_Face
42,6013.0,6258.0,559.0,5679.0,5427.0,4867.0,6258.0,5841.0,5427.0,6524.0,Real_Face
